elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
0.03,27080,4062.83056640625,4055.87451171875,4066.8359375,4065.2724609375,4055.507080078125,4068.354248046875,4076.9423828125,4062.820556640625,4055.9052734375,4066.833251953125,4065.296142578125,4055.4921875,4068.400634765625,4076.886962890625,28451.6484375,28451.62890625,-9.859664916992188,-9.59417724609375,38.12078857421875,1,True,ON,0,
0.08,27130,4062.714599609375,4055.91162109375,4066.8330078125,4065.2724609375,4055.592529296875,4068.44189453125,4076.743896484375,4062.755126953125,4055.90234375,4066.847900390625,4065.28125,4055.524169921875,4068.470703125,4076.75244140625,28451.556640625,28451.591796875,-9.354515075683594,-9.571091651916504,38.12078857421875,1,True,ON,0,
0.13,27181,4062.767822265625,4055.841552734375,4066.948486328125,4065.25244140625,4055.516357421875,4068.473876953125,4076.880615234375,4062.751220703125,4055.90234375,4066.88623046875,4065.29833984375,4055.546630859375,4068.51025390625,4076.7529296875,28451.63671875,28451.6171875,-9.001358032226562,-9.445335388183594,38.12078857421875,1,True,ON,0,
0.18,27232,4062.880859375,4055.875244140625,4066.779541015625,4065.35546875,4055.518310546875,4068.50439453125,4076.634765625,4062.796142578125,4055.88720703125,4066.857177734375,4065.3330078125,4055.519287109375,4068.45654296875,4076.700927734375,28451.55078125,28451.5859375,-9.175701141357422,-9.406879425048828,38.12078857421875,1,True,ON,0,
0.23,27283,4062.851806640625,4055.95166015625,4066.7744140625,4065.36962890625,4055.638427734375,4068.535888671875,4076.767578125,4062.81396484375,4055.923583984375,4066.82958984375,4065.344482421875,4055.564697265625,4068.4375,4076.697509765625,28451.587890625,28451.55859375,-9.806020736694336,-9.427263259887695,38.12078857421875,1,True,ON,0,
0.28,27333,4062.7509765625,4055.933837890625,4066.90576171875,4065.344970703125,4055.561767578125,4068.329345703125,4076.620361328125,4062.800048828125,4055.89501953125,4066.8505859375,4065.351806640625,4055.548583984375,4068.3740234375,4076.672607421875,28451.505859375,28451.51953125,-9.350045204162598,-9.621444702148438,38.12078857421875,1,True,ON,0,
0.33,27384,4062.86376953125,4056.028076171875,4066.9091796875,4065.2802734375,4055.546142578125,4068.283935546875,4076.822021484375,4062.77587890625,4055.94970703125,4066.828857421875,4065.30078125,4055.5546875,4068.336181640625,4076.795166015625,28451.53125,28451.5,-9.202524185180664,-9.623953819274902,38.12078857421875,1,True,ON,0,
0.38,27436,4062.8271484375,4055.93994140625,4066.852294921875,4065.33642578125,4055.561767578125,4068.307373046875,4076.81494140625,4062.787109375,4055.91064453125,4066.83935546875,4065.32861328125,4055.542236328125,4068.381103515625,4076.77734375,28451.5625,28451.55859375,-9.224875450134277,-9.411201477050781,38.12078857421875,1,True,ON,0,
0.43,27487,4062.869140625,4056.028076171875,4066.8251953125,4065.28662109375,4055.469970703125,4068.5673828125,4076.745849609375,4062.8037109375,4055.95947265625,4066.851318359375,4065.34130859375,4055.4658203125,4068.409423828125,4076.81396484375,28451.6328125,28451.626953125,-8.974535942077637,-9.434837341308594,38.12078857421875,1,True,ON,0,
0.48,27537,4062.792236328125,4055.8974609375,4066.89453125,4065.311767578125,4055.448486328125,4068.406982421875,4076.810546875,4062.8115234375,4055.904052734375,4066.8896484375,4065.328857421875,4055.467529296875,4068.41162109375,4076.851806640625,28451.671875,28451.646484375,-9.385807991027832,-9.323853492736816,38.12078857421875,1,True,ON,0,
